,Unnamed: 0,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,helpful_rate,product_type,0,0
0,7546,US,47785,RHPS4XM57U2NN,B0045I6IA4,246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary",Baby,5,0,0,N,N,So good!,So good!,2014-10-26,0.0,pacifier,0.997656884201125,0.997656884201125
1,7552,US,47785,R1K55B1GMLHGO4,B001L2SA6M,381226741,philips avent bpa free contemporary freeflow pacifier,Baby,5,0,0,N,Y,So good!,So good!,2014-10-26,0.0,pacifier,0.997656884201125,0.997656884201125
2,5227,us,67997,r16cpb3ntewa5m,b00iogim9s,557553462,inglesina fast table chair,baby,3,0,0,n,y,we loved it but my child is extremely messy when eating,"this chair is fabulous if you don't have a ton of space for a standing high chair. we loved it but my child is extremely messy when eating, i got really grossed out every time i went to clean it, i always found lots of hidden food under the seat flap. it was always stained with some kind of food from hands touching the fabric. we just moved to a booster seat because i couldn't find a &#34;perfect&#34; high chair. if you don't mind cleaning and washing fabric all the time then this is a good option.",2015-01-22,0.0,pacifier,0.5509174217145604,0.997043298674218
3,3490,us,67997,r1n7n208696tpz,b00bejreic,564514027,"summer infant soothe and sleep bassinet with motion, sweet lamb",baby,5,2,2,n,n,love it.,"i had this bassinet with my first son and we hated it at first because it would only work for 10 seconds or so and my son would not lay in it what so ever. we were so aggravated with it and so tired lol. after two days of having it i thought maybe it was put together with bad batteries (my fil put it together) so i flipped it over and noticed it was still on &#34;demo&#34;. i switched it to normal mode and it worked like a dream, i laid our newborn down in it as a &#34;last try and i'm trashing this thing&#34;, turned the rocker on and he was loving it!! my husband and i were so thankful to find that switch and have our newborn sleeping peacefully! i got rid of it after our first because the part they lay in became slanted and i didn't feel safe putting another baby in it. i don't think they're really built to last that long anyway. i just reordered this for our son who is due in these next few weeks and i am so excited about receiving this. i hope he loves it as much as his brother.<br /><br />a little about the product itself:<br />it rocks side to side and has a turn knob to control fast or slow rocking.<br />the music is soothing from what i remember. we really only used one sound and it was the &#34;nature&#34; sound.<br />has storage on bottom, i personally always forgot about this but could be helpful if you are moving it room to room to help carry whatever you need to take with you.<br />design was nice in my opinion. i feel as though it could be used for either gender.<br />only con was they aren't built to last more than one child (my personal experience and opinion) but they're priced reasonably so i don't have a problem rebuying.",2015-03-28,1.0,pacifier,0.9977794383452656,0.428507739146067
4,3,US,114040,R2E7N0TVLUHUDR,B003CK3LDI,392768822,wubbanub infant pacifier - giraffe,Baby,5,0,0,N,Y,Five Stars,Perfect,2015-08-31,0.0,pacifier,0.25935386102555424,0.25935386102555424
5,11,US,114040,R2WGKHKDDYUBV8,B0028IDXDS,450475749,wubbanub brown monkey pacifier,Baby,5,0,0,N,Y,Five Stars,"Perfect, love!",2015-08-31,0.0,pacifier,0.25935386102555424,0.9950231010033727
6,1386,us,250670,r3tdlwkwo1tsid,b003gslcog,533404581,thirsties snap duo wrap,baby,3,0,0,n,y,three stars,cute and great for small babies.,2015-06-24,0.0,pacifier,0.09410885687318316,0.9999723927004771
7,1422,us,250670,r2wgilxeuwt4h9,b006wr01fy,839999533,rumparooz one size cloth diaper cover snap,baby,5,0,0,n,y,five stars,best cover ever worth the money. no leaks great for predolds and insterts.,2015-06-24,0.0,pacifier,0.17899553825278597,0.9960940488364842
8,3358,US,259638,R3CHP8JK14BEPV,B0045I6IAY,246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary",Baby,5,0,0,N,Y,Five Stars,Good,2015-04-03,0.0,pacifier,0.25935386102555424,0.25935386102555424
9,3353,US,259638,RFZW32L9291ZI,B0081ZOV06,473538559,"philips aventbpa free soothie pacifier, 3+ months, green, 2 count",Baby,5,0,0,N,Y,Five Stars,Good!,2015-04-03,0.0,pacifier,0.25935386102555424,0.6854028387652528
